clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
13	SIMPLE	false	DUP	1	DUP
15	SIMPLE	false	DUP	1	DUP
16	SIMPLE	false	DUP	1	DUP
17	SIMPLE	false	DUP	1	DUP
18	SIMPLE	false	DUP	1	DUP
19	SIMPLE	false	DEL	1	DEL
20	RECIPROCAL	false	RECIP_INV	2	INV=2
22	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INV=1
24	SIMPLE	false	DUP	1	DUP
25	SIMPLE	false	DEL	1	DEL
26	SIMPLE	false	DUP	1	DUP
27	SIMPLE	false	DUP	1	DUP
28	SIMPLE	false	DUP	1	DUP
29	SIMPLE	false	DUP	1	DUP
31	COMPLEX	false	COMPLEX	5	BND=2_DEL=1_INV=2
33	SIMPLE	false	DEL	1	DEL
34	SIMPLE	false	DUP	1	DUP
35	SIMPLE	false	DUP	1	DUP
36	RECIPROCAL	false	RECIP_TRANS_DUPS	2	BND=2
38	SIMPLE	false	DEL	1	DEL
39	SIMPLE	false	DUP	1	DUP
40	SIMPLE	false	DUP	1	DUP
41	SIMPLE	false	DUP	1	DUP
42	SIMPLE	false	DUP	1	DUP
43	SIMPLE	false	DUP	1	DUP
44	SIMPLE	false	DUP	1	DUP
45	SIMPLE	false	DEL	1	DEL
46	SIMPLE	false	DUP	1	DUP
47	SIMPLE	false	DUP	1	DUP
48	SIMPLE	false	DUP	1	DUP
49	SIMPLE	false	DEL	1	DEL
50	SIMPLE	false	DEL	1	DEL
51	SIMPLE	false	DUP	1	DUP
52	SIMPLE	false	DUP	1	DUP
53	SIMPLE	false	DEL	1	DEL
54	SIMPLE	false	DUP	1	DUP
55	SIMPLE	false	DUP	1	DUP
60	INCOMPLETE	false	INF	1	INF
58	COMPLEX	false	COMPLEX	13	BND=4_DUP=5_INV=4
62	SIMPLE	false	DUP	1	DUP
63	SIMPLE	false	DUP	1	DUP
64	SIMPLE	true	DUP	2	DUP=2
65	SIMPLE	false	DUP	1	DUP
66	SIMPLE	false	DUP	1	DUP
67	SIMPLE	false	DUP	1	DUP
68	SIMPLE	false	DEL	1	DEL
69	SIMPLE	false	DEL	1	DEL
70	SIMPLE	false	DUP	1	DUP
71	SIMPLE	false	DEL	1	DEL
72	SIMPLE	false	DUP	1	DUP
73	SIMPLE	false	DUP	1	DUP
74	SIMPLE	false	DUP	1	DUP
78	SIMPLE	true	DUP	2	DUP=2
79	SIMPLE	true	DEL	2	DEL=1_DUP=1
80	SIMPLE	false	DUP	1	DUP
81	INCOMPLETE	false	SGL	1	SGL
82	INCOMPLETE	false	INF	1	INF
83	SIMPLE	false	DUP	1	DUP
84	SIMPLE	false	DEL	1	DEL
85	SIMPLE	false	DUP	1	DUP
86	SIMPLE	false	DEL	1	DEL
87	SIMPLE	false	DUP	1	DUP
89	COMPLEX	false	COMPLEX	8	BND=4_INV=4
90	SIMPLE	false	DUP	1	DUP
91	SIMPLE	false	DUP	1	DUP
92	INCOMPLETE	false	INF	1	INF
93	SIMPLE	false	DUP	1	DUP
94	SIMPLE	false	DEL	1	DEL
107	COMPLEX	false	COMPLEX	14	BND=3_DEL=3_DUP=4_INV=4
97	SIMPLE	false	DUP	1	DUP
98	SIMPLE	false	DUP	1	DUP
99	SIMPLE	false	DUP	1	DUP
100	SIMPLE	false	DUP	1	DUP
101	SIMPLE	false	DUP	1	DUP
102	SIMPLE	false	DUP	1	DUP
103	INSERTION	false	LINE	2	INF=1_SGL=1
104	SIMPLE	false	DUP	1	DUP
105	SIMPLE	false	DUP	1	DUP
110	SIMPLE	false	DEL	1	DEL
111	INCOMPLETE	false	INF	1	INF
112	SIMPLE	false	DUP	1	DUP
114	SIMPLE	false	DUP	1	DUP
115	SIMPLE	false	DEL	1	DEL
116	SIMPLE	false	DUP	1	DUP
0	ARTIFACT	false	LOW_VAF	1	BND
1	ARTIFACT	false	PAIR_INF	1	INF
2	ARTIFACT	false	PAIR_INF	1	INF
3	ARTIFACT	false	PAIR_INF	1	INF
4	ARTIFACT	false	PAIR_INF	1	INF
5	ARTIFACT	false	PAIR_INF	1	INF
6	ARTIFACT	false	PAIR_INF	1	INF
7	ARTIFACT	false	PAIR_INF	1	INF
8	ARTIFACT	false	PAIR_INF	1	INF
9	ARTIFACT	false	PAIR_INF	1	INF
10	ARTIFACT	false	PAIR_INF	1	INF
11	ARTIFACT	false	PAIR_INF	1	INF
12	ARTIFACT	false	PAIR_INF	1	INF
